Longitude,Latitude,Chl a Dec-Mar
-97.5,-42.5,0.1097
-91.5,-41,0.1097
-118.5,-40.5,0.1099
-167.5,-40,0.11
-94.5,-41.5,0.11
-93.5,-41.5,0.11
-99.5,-42.5,0.1101
-90.5,-47.5,0.1101
-87.5,-46.5,0.1101
-140.5,-41.5,0.1102
-149.5,-40.5,0.1103
-106.5,-42,0.1103
-100.5,-46.5,0.1103
-95.5,-42.5,0.1103
-91.5,-46.5,0.1103
-133.5,-41.5,0.1104
-91.5,-45.5,0.1104
-146.5,-41,0.1106
-86.5,-41.5,0.1106
-86.5,-40,0.1106
-141.5,-41.5,0.1107
-102.5,-42,0.1107
-97.5,-43,0.1107
-92.5,-45.5,0.1107
-89.5,-48,0.1107
-87.5,-45.5,0.1107
-134.5,-42,0.1108
-98.5,-43,0.1108
-97.5,-46.5,0.1108
-90.5,-46.5,0.1108
-108.5,-41.5,0.1109
-133.5,-42,0.111
-100.5,-42.5,0.111
-91.5,-47,0.111
-86.5,-46.5,0.111
-98.5,-45.5,0.1111
-92.5,-42,0.1111
-87.5,-40.5,0.1111
-145.5,-40.5,0.1112
-96.5,-46,0.1112
-93.5,-47,0.1112
-129.5,-41,0.1113
-91.5,-45,0.1113
-111.5,-41.5,0.1114
-92.5,-47,0.1114
-85.5,-41,0.1114
-136.5,-42,0.1115
-90.5,-47,0.1115
-90.5,-45,0.1115
-121.5,-40.5,0.1116
-91.5,-41.5,0.1116
-90.5,-45.5,0.1116
-152.5,-40.5,0.1117
-124.5,-41,0.1117
-102.5,-43,0.1117
-120.5,-41,0.1118
-107.5,-42,0.1118
-100.5,-46,0.1118
-99.5,-43,0.1118
-93.5,-45.5,0.1118
-85.5,-40,0.1118
-98.5,-43.5,0.1119
-93.5,-47.5,0.1119
-90.5,-44.5,0.1119
-113.5,-41.5,0.112
-101.5,-43,0.112
-90.5,-46,0.112
-135.5,-42,0.1121
-123.5,-40.5,0.1121
-99.5,-45.5,0.1121
-94.5,-46.5,0.1121
-88.5,-47,0.1121
-86.5,-41,0.1121
-85.5,-40.5,0.1121
-119.5,-40.5,0.1122
-101.5,-44.5,0.1122
-91.5,-47.5,0.1122
-91.5,-44.5,0.1122
-132.5,-41.5,0.1123
-126.5,-41.5,0.1123
-102.5,-42.5,0.1123
-88.5,-45.5,0.1123
-97.5,-47,0.1124
-94.5,-42,0.1124
-88.5,-46,0.1124
-145.5,-41,0.1125
-143.5,-41.5,0.1125
-96.5,-44,0.1125
-88.5,-46.5,0.1125
-100.5,-47,0.1126
-100.5,-44,0.1126
-92.5,-47.5,0.1126
-109.5,-41.5,0.1127
-99.5,-43.5,0.1127
-97.5,-44,0.1127
-96.5,-45.5,0.1127
-89.5,-44.5,0.1127
-85.5,-41.5,0.1127
-96.5,-48,0.1128
-89.5,-44,0.1128
-100.5,-43,0.1129
-96.5,-47.5,0.1129
-96.5,-46.5,0.1129
-89.5,-41,0.1129
-137.5,-42,0.113
-96.5,-44.5,0.113
-95.5,-43.5,0.113
-94.5,-47,0.113
-91.5,-48.5,0.113
-163.5,-40,0.1131
-112.5,-41.5,0.1131
-103.5,-45,0.1131
-98.5,-49,0.1131
-91.5,-49,0.1131
-86.5,-40.5,0.1131
-101.5,-47,0.1132
-98.5,-44,0.1132
-97.5,-43.5,0.1132
-87.5,-47,0.1132
-101.5,-46,0.1133
-95.5,-46,0.1133
-92.5,-45,0.1133
-100.5,-43.5,0.1134
-94.5,-42.5,0.1134
-89.5,-47,0.1134
-86.5,-45.5,0.1134
-101.5,-44,0.1135
-96.5,-48.5,0.1135
-92.5,-49,0.1135
-89.5,-46.5,0.1135
-86.5,-46,0.1135
-153.5,-40.5,0.1136
-121.5,-41,0.1136
-109.5,-42,0.1136
-103.5,-42,0.1136
-102.5,-45.5,0.1136
-96.5,-43.5,0.1136
-156.5,-41,0.1137
-132.5,-42,0.1137
-102.5,-46,0.1137
-101.5,-46.5,0.1137
-97.5,-48.5,0.1137
-97.5,-45.5,0.1137
-96.5,-47,0.1137
-95.5,-47,0.1137
-93.5,-42,0.1137
-92.5,-49.5,0.1137
-98.5,-44.5,0.1138
-96.5,-45,0.1138
-159.5,-40.5,0.1139
-106.5,-42.5,0.1139
-94.5,-47.5,0.1139
-92.5,-48.5,0.1139
-92.5,-48,0.1139
-91.5,-42,0.1139
-90.5,-48,0.1139
-90.5,-41.5,0.1139
-87.5,-41,0.1139
-85.5,-46.5,0.1139
-84.5,-41,0.1139
-97.5,-49,0.114
-97.5,-48,0.114
-94.5,-46,0.114
-89.5,-46,0.114
-88.5,-47.5,0.114
-147.5,-41,0.1141
-100.5,-44.5,0.1141
-98.5,-45,0.1141
-90.5,-44,0.1141
-104.5,-42,0.1142
-103.5,-44.5,0.1142
-101.5,-43.5,0.1142
-89.5,-45,0.1142
-115.5,-41.5,0.1143
-99.5,-44,0.1143
