Longitude,Latitude,Carbon_biomass
77.0667,-62.7333,0.600250889
80.6667,-62.4167,0.047871527
86.1333,-62.0333,0.302689896
89.9167,-61.7,1.585480669
106.6667,-60.2333,1.337476298
109.9833,-59.2167,1.469090231
109.95,-57.4,0.920882842
110,-54.8333,11.0581897
109.9667,-53.0833,6.871668739
109.9833,-50.7,3.628594294
110.0667,-48.9167,2.201494397
38.6667,-68.3833,0.216576251
43.3667,-64.6167,0.115614307
43.5667,-64.4167,0.223856183
43.8833,-64.2167,0.768721571
43.9833,-64.0333,0.48496398
44.9,-63.7,0.221252184
24.3333,-70.1667,0.0134255
23.8,-70.15,0.390862411
23.9667,-70.15,0.315234719
24.15,-70.15,0.44851236
24.3333,-70.0667,0.136604114
24.45,-70.25,1.118844267
24.1667,-70.2333,0.71355354
24.1833,-70.2333,0.57796905
23.1667,-70.1667,0.999952597
24.1833,-70.1667,1.319633773
24.1833,-70.1667,0.496277398
24.4667,-70.1667,0.711609448
24.1667,-70.15,0.779107165
24.1333,-70.1,0.801042706
108.8833,-55.5833,1.792585623
110.0833,-46.6667,2.773825887
109.1167,-55.2167,1.447096702
110,-50.7333,3.962747807
110.0167,-45.6,1.850860739
109.9333,-54.4833,0.560692093
109.9333,-49.6167,1.863242164
37.85,-64.1333,0.239659078
51.4,-63.4667,1.646371674
107.5,-55,18.24137978
110.0167,-45.7,0.299363231
107.5,-58.9667,2.680519033
109.8333,-54.6667,2.048052065
109.4,-49.75,2.143060261
70.2333,-62.55,8.01997337
100.6667,-59.1833,3.139322322
106.55,-55.3833,1.798752937
109.9,-50.3833,10.1598057
109.9,-45.45,0.612603269
76.1667,-61.4667,1.556001436
94.5667,-57.55,0.801850369
99.6333,-55.3833,1.73968918
105.8667,-60.0833,0.855893631
108.2167,-57.4667,1.392351773
110.0333,-52.3167,1.712403144
86,-59.9833,0.682021836
103.9,-59.9833,0.25452556
110.0167,-58.0167,0.518652026
110.0167,-47.7167,0.279170879
39,-62.3333,0.989710627
109.8833,-59.7333,0.639839536
109.9833,-55.0667,0.537463778
110,-46.35,2.159728698
79.9833,-61.3333,1.510986543
110.0167,-59.2667,0.384604677
110.0333,-55.8833,0.47997719
110.0667,-51.55,0.639079475
110.0667,-46.6667,0.544619459
109.7167,-60,0.468987309
109.8833,-54.9833,1.201732296
103.55,-59.15,0.762398675
109.35,-55.4667,6.071079691
110.0167,-50.5833,8.502383337
110.0333,-46.15,1.422983887
108.85,-60.05,0.849931313
109.4833,-55.8667,0.808686612
110.1,-50.8,3.864259765
110.0333,-50.7833,10.39023058
110.0333,-45.7667,0.537270286
108.5,-59.9167,0.361122893
109.5833,-55.3333,0.450045985
109.7,-49.7333,1.887245987
108.75,-59.8167,1.002576749
109.8833,-54.85,0.908117726
109.8333,-50,2.036661409
109.9167,-45.0667,0.67786305
108.3667,-59.4833,0.897978686
109.8833,-55.6,0.691109306
-52.19083333,-62.45861111,0.038270595
-48.33638889,-61.96972222,0.213615374
-53.76305556,-60.91305556,0.21448967
-52.98722222,-60.69305556,0.031304752
-52.20861111,-60.49472222,0.069773469
-42.41027778,-60.46,0.609813281
-50.26416667,-60.22805556,0.054491297
-42.47916667,-60,7.644182626
-42.49083333,-59.49333333,1.979346862
-49.75194444,-58.97333333,1.186415906
-49.79305556,-58.47055556,0.29753494
74.39983333,-68.33983333,0.122007469
73.07483333,-66.73766667,0.020977149
39.9505,-66.66216667,0.434927304
39.99933333,-66.3075,1.587192425
73.02516667,-66.27483333,0.21149429
66.39558333,-66.229,0.476690024
44.99033333,-65.99933333,2.747376557
39.95883333,-65.981,1.284031691
39.99183333,-65.332,1.32974062
65.00333333,-64.99533333,2.157031218
45.00683333,-64.67633333,0.384335675
39.992,-64.67116667,0.585966899
50.00416667,-64.32883333,2.081978539
65.02238333,-64.32616667,1.464262947
69.00411667,-64.31736667,6.760554343
59.94875,-64.31418333,0.329914137
39.96533333,-63.98516667,0.109351608
54.9915,-63.97866667,0.399634597
69.02688333,-63.3244,8.18012127
59.9895,-63.32,0.48020724
49.976,-63.30683333,0.886877782
60.00516667,-62.65616667,0.862112283
65.00351667,-62.65476667,2.022640678
45.003,-62.65416667,0.425094999
1,-52.5,2.525481003
2,-52.5,2.653895291
3.5,-51.3,4.348963896
4,-51,3.587039119
11,-50.8,2.157360043
10.5,-50.5,3.903794363
7,-50.4,4.485939137
10.5,-49.7,4.400329611
-85.2,-70.3,0.0925
-85.2,-70.3,0.196965476
-85,-69.6,0.0975
-85,-69.6,0.127662809
-85,-68.25,0.1925
-85,-68.25,0.196965476
-85,-67,0.57
-85,-67,0.601838956
-3.053,-70.003,0.371801159
3.069,-69.989,0.737425162
3.083,-69.485,1.046956973
-3.064,-69.482,0.985061938
0.028,-69.011,0.321811786
-3.029,-68.972,0.601950504
3.056,-68.943,0.314099574
0.036,-68.529,0.185365074
3.024,-68.476,0.395277908
-3.005,-68.47,0.764201339
0.07,-68.019,0.087165954
2.909,-68.002,0.307567498
-3.016,-67.971,0.238181125
0.043,-67.523,0.046334723
2.929,-67.521,0.192548907
-3.023,-67.472,0.173617772
-3.036,-66.974,0.092149705
-0.002,-66.969,0.092782784
2.881,-66.538,0.645381163
-3.056,-66.499,0.079299559
0.011,-66.47,0.192696873
-3.041,-66.024,0.094701152
-0.004,-65.971,0.335672598
-3.044,-65.52,0.169681773
-0.013,-65.518,0.161218355
3.031,-65.499,0.496415872
-3.052,-65.02,0.145523217
2.932,-65.003,0.593323666
0.024,-64.522,0.254096804
2.946,-64.516,0.515205215
-3.054,-64.509,0.067676072
-3.002,-64.032,0.169084598
2.991,-64.002,0.170977344
0.007,-63.996,0.32751211
2.9943,-63.531,0.368769971
0.024,-63.529,0.238856143
-3.021,-63.528,0.496697142
-2.984,-63.031,0.21649862
3.057,-63.008,0.354059501
0.074,-62.996,0.539419125
2.957,-62.53,0.302613652
0.021,-62.527,0.143525194
-3.009,-62.526,0.197646403
2.996,-62.031,0.442241333
-3.045,-62.023,0.275099701
2.997,-61.535,0.176320105
-3.003,-61.532,0.422785116
0.009,-61.53,0.270379827
3.029,-61.028,0.359538797
0,-61.025,0.294235179
-2.092,-61.008,0.35934739
0.035,-60.532,1.113268973
3.08,-60.514,0.719271206
-2.942,-60.501,0.565418663
0.006,-60.031,0.204838525
3.03,-60.028,1.248746167
3.051,-60.016,0.778813591
-2.932,-60.004,0.608326482
-3.328917,-70.107181,0.186707889
-2.909276,-69.543543,1.389882009
-2.946057,-69.083723,0.296122864
-2.829716,-67.92101,0.206981743
-3.054376,-66.977009,0.465110284
-2.981748,-66.014859,0.229424928
-2.999557,-65.012039,0.262800366
-3.031917,-64.51536,0.1627768
-2.976208,-63.060692,0.203615762
-2.96691,-62.003975,0.468821729
175,-57,1.615264214
175,-50,0.64420688
-63,-63,0.3
-59.5,-63,0.03363838
-57.73,-63.98,0.008140834
-59,-63.31,0.003779244
-59.18,-63.15,0.007659383
-58,-62.9,2.402914979
-58.3,-62.63,0.057311591
-56.88,-62.61,0.023357292
-56.61,-62.5,0.002346398
-58.61,-62.35,0.060097723
-57.2,-62.35,1.274712756
-57.46,-62.1,0.000746061
-115.3,-56.905,0.202966863
-115.1633,-56.0817,0.600292781
-114.87,-54.9633,0.226903465
-120.3833,-61.2333,2.49347828
-119.4833,-56.5,1.092869365
-119.9,-54.1,2.666175999
-120.2,-49.0833,1.091789423
161.8167,-47.6167,2.711574465
160.05,-45.05,1.271736428
-35.5,-74.5,1.402698942
-48,-67.5,0.34487719
73.9,-53.2,8.778099194
74.7,-52.7,4.397284212
75.5,-52.4,14.27882177
76.4,-52.2,8.778099194
77.2,-52,14.27882177
78,-51.65,4.397284212
73,-51.5,29.64461266
73.8,-51.3,10.98497591
74.6,-51.1,25.90609762
75.4,-50.9,14.93759094
76.2,-50.7,10.54030672
77,-50.5,5.928922532
-35.2,-55.2,4.088565521
-39.4,-54.4,5.287001708
-39.2,-54.35,4.122906741
-39.3,-54.2,2.883547683
-35.6,-54,1.970526277
-37.3,-53.7,3.27010562
-38.7,-53.6,2.063143651
-36.2,-53.6,5.587017938
3.733,-49.7,7.870375152
4.533,-48.883,8.954601811
5.383,-48.05,2.971300561
6.167,-47.383,2.41251252
6.817,-46.667,2.091575013
7.3,-46.317,3.576912674
7.683,-45.85,3.693272793
8.417,-45.267,0.880340245
8.783,-44.8,0.224186336
9.233,-44.417,0.661228062
9.883,-43.733,0.589457882
10.633,-43.017,0.954416975
11.3,-42.3,0.395540481
11.917,-41.65,0.653039368
12.633,-41.2,0.660282994
12.55,-41.017,1.123476818
12.717,-40.817,0.68763815
13.05,-40.4,8.100319031
13.8,-39.75,0.41206851
14.45,-39.1,0.325365891
15.267,-38.067,1.775129755
16.033,-37.167,0.114674254
17,-36,0.877597967
17.8,-35.183,1.646692534
-168.4,-66,0.912926182
-170,-63,2.981034363
-170,-60,3.231802323
-170,-56.5,1.338883144
-174.8,-53.2,0.488819776
140,-61,1.485051977
-36.833,-62,0.079339766
-36.502,-61.999,0.132843276
-37.583,-61.905,0.046209588
-35.667,-61.583,0.245488589
-36.833,-61.5,0.784283177
-36.417,-61.5,0.096640029
-34.247,-61.43,0.131914799
-34.673,-61.35,0.099142743
-37.25,-61.333,0.764386634
-36.669,-61.257,0.548672291
-36.18,-61.169,0.080135086
-35.067,-60.932,0.183894556
-36.167,-60.833,0.486347696
-15,-71,0.685961869
-15,-62,0.658821354
-15,-55,0.414359344
-15,-52,2.336718688
-53.7513,-63.9415,0.064452495
-54.195,-63.493,0.011550155
-53.3438,-62.531,0.001530043
-53.9245,-62.4798,0.002651613
-53.6613,-62.1017,0.899224815
-54.4803,-62.0932,2.623967281
-53.9977,-62.085,0.350470229
-37.5,-49.8,3.407214175
176.2027,-76.2025,0.369047619
169.8343,-75.6292,1.3625
175.5265,-72.3517,1.0625
173.0488,-72.0845,1.3125
174.104,-71.897,2.9375
174.6373,-71.3427,3.483333333
53.5,-53.5,1.790719168
58,-46,0.328047977
161.0066667,-64.49166667,0.028681707
161.7916667,-61.08666667,1.095960458
163.0133333,-58.00166667,1.278227229
162.8166667,-55.33666667,0.706283713
161.9616667,-53.26833333,0.353007379
159.5383333,-51.21333333,0.362188158
155.6466667,-46.98666667,0.212507287
-125.555,-69.94333333,0.263682423
-165.1233333,-67.32666667,0.281165963
-166.5766667,-64.855,0.109511615
-168.335,-60.935,0.634329876
-169.56,-58.64666667,0.929901203
-171.0133333,-56.50833333,1.278227229
-172.1433333,-54.49333333,0.353007379
-176.19,-52.36,0.553868952
179.7133333,-50.115,0.494861398
176.1366667,-48.635,0.380675296
172.0883333,-46.46,0.094859113
0.393333333,-59.51166667,0.094859113
0.668333333,-57.53333333,0.109511615
0.706666667,-55.14166667,0.080604107
19.57333333,-52.72333333,0.220896487
0.99,-52.485,0.583810883
19.70666667,-49.985,0.237846777
1.1,-49.55666667,0.179558356
19.93666667,-46.99833333,0.16347259
0.915,-46.485,0.187701145
20,-43.72,0.593853997
0.833333333,-43.46,0.316719466
0.651666667,-39.89833333,0.053475179
-66,-64.87,1.322081498
-65,-64.87,0.714238484
-66,-64.13,3.571141699
-64,-64.05,0.018914425
-65,-63.83,2.258912854
-63,-63.67,2.949367325
-62.4,-63.5,0.007099701
-61,-63.5,0.450591569
-59.5,-63.5,0.136265929
-61.5,-63.4,0.005923657
-61,-63.2,0.007099701
-60,-63.17,0.007099701
-59.5,-63.17,3.043612889
-59,-63.17,0.015298152
-58.44,-63.17,3.373189731
-57.7,-63.17,0.010083339
-66,-63,2.475692789
-61.5,-63,0.035915203
-58,-63,0.007099701
-64,-62.9,2.354544216
-57.7,-62.9,0.007099701
-56.2,-62.8,0.005923657
-61,-62.7,0.007099701
-60,-62.7,0.034623895
-58.7,-62.7,0.007099701
-62,-62.5,0.035778889
-59.5,-62.5,0.007099701
-58.44,-62.5,0.007099701
-58,-62.5,0.007099701
-57.6,-62.5,4.213114525
-58.7,-62.4,0.007099701
-61,-62.27,0.359786549
-58.44,-62.27,0.009168827
-65,-62.2,4.94160026
-57.6,-62.2,0.618817697
-56.2,-62.2,0.23018226
-63,-62.17,4.840536255
-60,-62.17,0.080627961
-58.5,-62.17,0.050540843
-58,-62.17,0.007099701
-56.5,-62,0.498550697
-66,-61.83,3.339960042
-64,-61.83,3.438069243
-58.5,-61.83,0.319265368
-57,-61.6,0.058875188
-60,-61.5,4.276969929
-58.5,-61.5,5.473428507
-62,-61.27,5.435255608
-59,-61.27,0.763514921
-65,-61,1.294478405
-57.6,-61,0.473847207
-56.2,-61,4.249582161
-61,-60.83,9.842824221
-63,-60.67,10.93583658
-58.44,-60.67,0.517224637
-59,-60.5,0.612373713
-59,-60.28,1.344001685
-62,-60.05,0.865153246
-60,-60,1.80922889
40.55,-67.35,2.570079878
36.6167,-67.1167,0.117704428
13.7167,-67.0833,0.417945433
12.6167,-63.35,3.098934323
12.85,-62.25,3.063652471
25.65,-67.5833,1.726685988
25.65,-67.55,2.12877549
42.65,-67.3,2.961056143
41.4667,-66.6,6.816242155
27.7833,-64.3,0.523856776
27.8333,-64.2667,0.017130449
25.7,-63.9,0.062196533
40,-61.8,0.196666546
25.9,-60.6333,0.35839694
40.2833,-59.3333,0.19677872
36.75,-58.6333,0.300499489
36.6833,-65.4667,0.559822898
36.9833,-64.2167,0.316643382
37.0667,-61.5167,0.443661845
37.1,-60.2,0.080848278
40.8667,-64.7333,0.915024648
40.8667,-64.7333,0.321867419
40.0667,-61.8333,4.656583839
40.3,-58.75,0.665047612
40.3,-58.75,0.146673054
40.4167,-56.1333,0.715968011
40.4167,-56.1333,1.307192199
43.0833,-55.0167,2.00367345
45.1,-67.6,0.747261254
46.05,-67.3167,0.013841573
44.5833,-66.3167,0.246708969
35,-65.0167,0.073254986
40.1333,-65,0.068525359
44.9167,-65,0.145354991
45.05,-62.5167,0.815835866
40.0167,-62.4833,1.531003517
35.05,-62.4667,1.99034246
34.9667,-60,0.36649579
39.9833,-60,3.739937566
45.05,-59.9667,0.510279888
48,-63.0333,0.018610326
53,-63,0.269018371
60.1,-63,0.118599612
53.45,-59.4333,0.249623845
24.8,-68.9833,0.337368255
33.6667,-66.8333,0.234613431
38.6833,-64.6167,0.013429894
42.0833,-62.5833,0.040775693
42,-59.6833,0.5153556
41.4333,-58.2833,0.347404247
24.2333,-70.25,0.028324234
24.35,-70.25,0.023187747
23.9167,-70.2333,0.040754431
33.8167,-68,0.046430613
34.4167,-68,0.063822321
34.9833,-68,0.067240759
33.2,-67.9833,0.00285977
24.45,-70.25,1.276416604
23.9833,-70.2333,0.076375227
24.0667,-70.2333,0.487384386
24.2667,-70.2333,0.032663165
23.8,-70.2167,0.041555139
24.35,-70.1833,0.046764603
24.15,-70.1667,0.006808886
24.0167,-70.15,0.610573136
23.7667,-70.1333,0.930376605
25.0333,-69.55,0.330876865
24.9667,-69.05,4.282430694
25.0333,-69,3.348761709
34.2333,-68.3667,0.148292392
32.9667,-67.9833,0.086895418
33.9667,-67.9833,0.156594948
34.95,-67.9833,0.080121161
32,-67.9667,1.65380224
29.8333,-66.9833,3.148760855
34.2167,-65.0333,4.789998687
25.0333,-64.9667,0.438158142
23.8833,-70.25,0.234326673
24.0333,-70.25,2.246985705
24,-70.2333,1.297130925
24.2,-70.2167,0.124115369
24,-70.1667,0.581470326
31.0333,-67.5,0.183901459
32.9833,-67.5,2.498500462
37.6667,-67.5,0.274064552
36.0167,-67.4833,0.984568489
37.65,-65.0167,0.638686407
37.65,-65,0.483179321
37.6667,-65,0.402508249
37.6667,-64.9833,0.3431511
24.2833,-70.25,0.109418772
24.15,-70.2333,0.365596673
41.8,-64.9833,0.500766561
45.0667,-64.95,1.366084617
44.7667,-61.1667,0.128060003
34.7167,-60.05,0.080809666
23.65,-69.45,2.386851584
24.2,-68.4167,7.628541723
27.9167,-68.05,0.196085866
59.2333,-63.9833,1.03852012
46.8167,-66.05,0.10711308
47.05,-62.6667,0.005086539
54.4,-56.05,1.003508034
37.8333,-64.15,1.268778253
38.6333,-68.35,0.380762346
38.2167,-67.2667,0.255319293
68.45,-65.7833,0.272958274
59.2,-64.9333,0.208629151
48.3167,-63.1,0.304109128
57.4333,-63.0167,0.645954868
65.7333,-63.0167,0.545926661
38.95,-66.7333,0.315628301
62.35,-62.9,0.279896552
38.9667,-67.45,3.46664661
38.8667,-66.6333,0.91656482
38.9333,-66.6,0.826716018
38.9667,-65.8,1.782253479
70.6833,-64.0167,0.211732148
60.6333,-63.9833,0.556853116
50.8,-64,0.080590718
60.95,-64,0.110683664
70.9833,-64,0.14397604
82.2667,-64,2.633989354
90.2,-63.45,6.133153654
68.9,-64,0.203397745
60.2833,-63.95,0.035900502
78.9667,-63.5167,0.325269791
68.35,-64.6167,0.110410675
51.4667,-63.9833,0.050133881
61.6167,-63.9667,0.088054536
49.9667,-64.1667,1.23671945
60.1,-64,6.420579287
74.4938,-69.27765,0.346217924
74.37346667,-69.07816667,4.662447212
74.0501,-68.89343333,2.366293055
73.46178333,-68.60488333,0.914222989
71.4295,-68.54856667,0.108108767
72.97863333,-68.02468333,0.221628452
72.91876667,-67.487,0.421364728
75.49256667,-67.24291667,0.048222874
73.80981667,-67.23988333,0.054491297
72.6,-67.2,0.029713351
73.0241,-66.9703,0.040995174
73.15556667,-66.63266667,0.14341525
75.6012,-64.98598333,0.18641551
77.97036667,-64.95661667,0.054083505
-52.26666667,-62.95,0.095023661
-44.66666667,-62.38333333,4.382711118
-56.56666667,-62.25,0.195010228
-44.68333333,-62.08333333,0.236768343
-56.86666667,-62.05,0.008751567
-53.7,-61.81666667,0.114457589
-57.2,-61.78333333,0.001241435
-44.66666667,-61.73333333,0.059936345
-44.65,-61.48333333,0.082092141
-54.33333333,-61.41666667,0.034428018
-47.16666667,-61.2,2.935632355
-44.68333333,-61.2,0.04872414
-50.35,-60.85,0.294390108
-49.56666667,-60.83333333,0.049829607
-48.76666667,-60.83333333,0.087646779
-47.96666667,-60.81666667,0.153590483
-55.01666667,-60.46666667,0.212616827
-135,-71.5,0.530411779
-115,-69,0.40086779
-115,-68,2.456913978
-37.5,-49.8,3.342478797
-48.7,-64,1.020160628
-49.3,-63.9,159.7355687
-49.9,-63.8,1.538579266
-54.9,-63.6,0.240000971
-49.4,-63.4,2.180730299
-50,-63.3,0.599079727
-49.4,-63,0.382311481
-51.5,-62.9,0.683724127
-53.5,-62.8,0.204847018
-52,-62.8,4.655170797
-51.35,-62.8,0.109465381
-54.6,-62.75,0.496585282
-52.6,-62.7,0.346810565
-50,-62.7,0.633916318
-51.3,-62.6,1.774544794
-50.4,-62.5,4.433818704
-52.6,-62.2,2.337831157
-50.5,-62.2,0.31145757
-48.6,-62.2,0.658093737
-48.7,-61.7,0.486775812
-53.5,-61.5,3.582473628
-52,-61.4,10.96724863
-51.3,-61.3,0.477507102
-50.4,-61.2,0.208498468
-53.5,-61.1,0.011278476
-54.9,-61,1.703436807
-54.9,-61,5.339640339
-50,-61,0.32545091
-49.4,-61,0.150617755
-48.7,-61,0.408910621
-55.2,-60.9,1.963647907
-54.9,-60.9,13.16024004
-54.9,-60.9,1.216683562
-54.9,-60.9,3.037465666
-54.9,-60.9,4.672454286
-54.8,-60.9,0.125473378
-54.8,-60.9,0.981069192
-53.5,-60.8,0.138729177
-52.7,-60.5,0.098004194
-51.3,-60.45,0.05592615
-55.2,-60.2,4.29088802
-54.1,-60.1,2.001581424
-55.1,-60.05,0.195112407
-51.3,-60,0.270765098
-50,-60,0.161091843
-52.7,-59.8,24.30039371
-54.9,-59.7,7.35601864
-51.5,-59.5,1.028320686
-50,-59.5,0.291228851
-48.7,-59.4,2.398280322
-52.9,-59.3,8.007730255
-52.7,-59.3,8.962159682
-48.7,-59.3,0.349410943
-53.4,-59,3.238865714
-52,-59,5.713310636
-48.7,-59,6.728481117
-50.4,-58.8,1.809242747
-49.3,-58.8,8.922546637
-52,-58.7,11.10453421
-48.7,-58.6,4.190322462
-49.2,-58.2,3.324882044
-51.2,-58,50.38503923
-49.4,-57.5,1.960312374
-50.7,-57.3,7.576193975
-50.3,-57.3,3.066353259
-49.45,-57,2.620205613
-68.5,-66.5,1.260002592
-68.15,-66.2,1.215876669
-68.27,-66.2,11.84861257
-68.22,-66.2,8.554539021
-68.2,-66.2,2.547979309
-67.2,-65.8,2.882684951
-66.15,-65.4,1.760518286
-65.15,-64.95,4.426237301
-64.4,-64.9,0.223684867
-63.9,-64.75,0.535261048
-62.55,-64.55,1.383071441
-64.8,-64.5,0.767958252
-62.85,-64.2,1.701932546
-65.3,-64.1,0.708858101
-49.9,-63.9,0.970397311
-49.83,-63.9,2.051609224
-61.6,-63.9,1.721378573
-65.7,-63.75,4.351238258
-61.1,-63.5,0.7582971
-56.75,-63.4,3.059433122
-66.15,-63.37,3.003413001
-56.8,-63.3,0.283501559
-59.75,-63.3,0.858144952
-59.1,-63.1,3.12140664
-62.2,-63.05,0.204349738
-60.6,-63,0.145029667
-60.3,-63,0.26743044
-58.45,-63,1.014403843
-66.5,-63,4.703973316
-57.3,-63,1.695874555
-57.65,-62.8,1.526828086
-59.8,-62.7,1.264705271
-56.8,-62.7,1.397660321
-55.2,-62.6,0.698115888
-59,-62.5,0.550233962
-57.95,-62.5,4.774255143
-56.7,-62.3,2.063405518
-58.1,-62.2,0.684915766
-49,-62.1,11.7548088
-56.8,-61.9,0.255543064
-54.95,-61.5,0.107127891
-54.95,-61.5,2.162405489
-54.9,-61.5,0.276362454
-55,-61.5,0.820659254
-54.98,-61.5,0.833996384
-54.95,-61.5,0.508741843
-54.95,-61.5,0.203484766
-54.75,-61.22,0.548928125
-54.7,-61,0.434322361
-55.25,-60.9,0.198549489
-55.1,-60.9,0.710374604
-55.15,-60.85,3.108400708
-55.15,-60.85,0.428221576
-55.15,-60.85,5.221692355
-55.15,-60.85,0.881539812
-55.1,-60.85,5.393479022
-55.2,-60.82,0.563609883
-50.9,-60.8,0.890493547
-48.05,-60.5,2.46178512
-46.65,-60.47,1.364231905
-50.5,-60.23,1.019856158
-51,-59.25,0.76626488
-36.3,-77.7,0.418503627
-38.5,-77.6,0.207938715
-41.3,-77.5,0.503036589
-41.5,-77.4,0.302530287
-38.4,-77.4,0.270965196
-40.96,-77.3,0.545352592
-35.2,-77.3,1.150852368
-41.5,-77.2,0.778569411
-41.1,-77.2,0.376293033
-32.9,-76.9,0.249939965
-30.6,-76.6,0.26045067
-28.7,-76,0.145086371
-30.7,-75.6,0.249939965
-27.3,-75.6,0.355203432
-24.7,-75.1,0.524190746
-24.6,-74.2,1.52424198
-24.6,-74.2,0.757338523
-24.6,-74.1,0.863543765
-20,-73,1.705915182
-18.6,-72.6,1.023068749
-16.3,-72.4,1.802166937
-15.2,-72.1,3.089232496
-13.3,-71.5,0.186965858
-13.7,-70.7,1.044356502
-12.6801,-51.2139,1.736220963
-12.6697,-51.2097,3.766144191
-12.66595,-51.1963,2.535614581
-12.157,-51.016,5.211473731
-13.00007,-50.9837,5.186904448
-39.4518,-50.8007,10.20897314
-36.99285,-50.01365,1.163908945
-38.2158,-49.9919,8.045530345
-37.6105,-49.6155,4.184072094
64,-44.3,0.922017237
62,-59,1.205536687
62,-56.5,1.737662836
